,model,metric,fold,value
276,MultiLayerPerceptron,fp_rate,6,0.2077922077922078
277,MultiLayerPerceptron,fp_rate,7,0.11688311688311688
278,MultiLayerPerceptron,fp_rate,8,0.05263157894736842
279,MultiLayerPerceptron,fp_rate,9,0.11842105263157894
280,MultiLayerPerceptron,fn_rate,0,0.2077922077922078
281,MultiLayerPerceptron,fn_rate,1,0.18181818181818182
282,MultiLayerPerceptron,fn_rate,2,0.16883116883116883
283,MultiLayerPerceptron,fn_rate,3,0.1038961038961039
284,MultiLayerPerceptron,fn_rate,4,0.24675324675324675
285,MultiLayerPerceptron,fn_rate,5,0.12987012987012986
286,MultiLayerPerceptron,fn_rate,6,0.15584415584415584
287,MultiLayerPerceptron,fn_rate,7,0.16883116883116883
288,MultiLayerPerceptron,fn_rate,8,0.23684210526315788
289,MultiLayerPerceptron,fn_rate,9,0.18421052631578946
290,MultiLayerPerceptron,tp_rate,0,0.14285714285714285
291,MultiLayerPerceptron,tp_rate,1,0.16883116883116883
292,MultiLayerPerceptron,tp_rate,2,0.18181818181818182
293,MultiLayerPerceptron,tp_rate,3,0.24675324675324675
294,MultiLayerPerceptron,tp_rate,4,0.1038961038961039
295,MultiLayerPerceptron,tp_rate,5,0.22077922077922077
296,MultiLayerPerceptron,tp_rate,6,0.19480519480519481
297,MultiLayerPerceptron,tp_rate,7,0.18181818181818182
298,MultiLayerPerceptron,tp_rate,8,0.10526315789473684
299,MultiLayerPerceptron,tp_rate,9,0.15789473684210525
300,LogisticRegression,accuracy,0,0.7402597402597403
301,LogisticRegression,accuracy,1,0.7792207792207793
302,LogisticRegression,accuracy,2,0.7792207792207793
303,LogisticRegression,accuracy,3,0.8051948051948052
304,LogisticRegression,accuracy,4,0.7662337662337663
305,LogisticRegression,accuracy,5,0.7922077922077922
306,LogisticRegression,accuracy,6,0.7792207792207793
307,LogisticRegression,accuracy,7,0.7272727272727273
308,LogisticRegression,accuracy,8,0.7368421052631579
309,LogisticRegression,accuracy,9,0.7105263157894737
310,LogisticRegression,precision,0,0.6666666666666666
311,LogisticRegression,precision,1,0.75
312,LogisticRegression,precision,2,0.75
313,LogisticRegression,precision,3,0.875
314,LogisticRegression,precision,4,0.7368421052631579
315,LogisticRegression,precision,5,0.7391304347826086
316,LogisticRegression,precision,6,0.8125
